property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Apartment for Sale in Sector 74 Noida, Grand Ajnara Heritage, 984 sqft, Ready to Move, 14 out of 19,Resale, Unfurnished, None, Freehold, None, 2, 3, ₹90 Lac, ₹7 317 per sqft
2 BHK Apartment for Sale in Sector 120 Noida, None, 950 sqft, Ready to Move, 11 out of 16,Resale, Semi-Furnished, None, None, None, 2, None, ₹60 Lac, ₹6 316 per sqft
3 BHK Builder Floor for Sale in Greater Noida West Noida, None, 1150 sqft, Ready to Move, 4 out of 6,None, Furnished, None, None, None, 2, None, ₹45 Lac, None
4 BHK Apartment for Sale in Sector 151  Noida Express Way Noida, Jaypee Greens, 2550 sqft, Ready to Move, 21 out of 22,Resale, Semi-Furnished, None, None, None, 4, 4, ₹2 Cr, ₹6 944 per sqft
1 BHK Apartment for Sale in Sector 74 Noida, Supertech Capetown, 535 sqft, Ready to Move, 7 out of 40,Resale, Furnished, None, None, None, 1, None, ₹44 Lac, ₹8 224 per sqft
3 BHK Builder Floor for Sale in Sector 49  Dadri Road Noida, None, 1000 sqft, Ready to Move, 1 out of 5,Resale, Unfurnished, North - East, Freehold, None, 2, 1, ₹34 Lac, ₹3 238 per sqft
1 BHK Apartment for Sale in Sector 82  Dadri Road Noida, EWS flats, 450 sqft, Ready to Move, 1 out of 4,Resale, Unfurnished, None, None, None, 1, None, ₹21 Lac, ₹4 667 per sqft
1 BHK Builder Floor for Sale in Yamuna Expressway Noida, None, 30 sqm, Ready to Move, 2 out of 4,Resale, Semi-Furnished, None, None, None, 1, 1, ₹16 Lac, ₹4 955 per sqft
1 BHK Apartment for Sale in Sector 27 Noida, Godrej Golf Links Evoke Villas, 710 sqft, Ready to Move, 4 out of 20,Resale, Furnished, None, None, None, 1, 1, ₹80 Lac, ₹11 268 per sqft
1 BHK Apartment for Sale in Block D Sector 71 Noida, Sai Apartment, 600 sqft, Ready to Move, 1 out of 3,Resale, Semi-Furnished, None, None, None, 1, 2, ₹41 Lac, ₹6 833 per sqft
3 BHK Apartment for Sale in Sector 76 Noida, ADITYA CELEBRITY HOMES, 1445 sqft, Ready to Move, 6 out of 14,Resale, Furnished, None, Leasehold, None, 2, 3, ₹1.20 Cr, ₹8 304 per sqft
2 BHK Apartment for Sale in Sector 74 Noida, Supertech Capetown, 1150 sqft, Ready to Move, 17 out of 19,Resale, Semi-Furnished, None, None, None, 2, 5, ₹90 Lac, ₹7 826 per sqft
2 BHK Apartment for Sale in Sector 168  Noida Express Way Noida, Paras Seasons, 985 sqft, Ready to Move, 2 out of 19,Resale, Semi-Furnished, None, None, None, 2, 2, ₹59 Lac, ₹5 990 per sqft
2 BHK Apartment for Sale in Sector 62  NH 24 Noida, Brickland Residency, 63 sqm, Ready to Move, 2 out of 5,Resale, Furnished, None, None, None, 2, None, ₹32.5 Lac, ₹4 792 per sqft
4 BHK Apartment for Sale in Sector 76 Noida, Amrapali Crystal Homes, 2140 sqft, Poss. by Dec '24, 17 out of 28,Resale, Unfurnished, None, None, None, 3, 4, ₹1.59 Cr, ₹7 430 per sqft
3 BHK Apartment for Sale in Unitech Unihomes  Sector 117  Noida Noida, Unitech Unihomes 1 B1 Tower, 1010 sqft, Ready to Move, 1 out of 9,Resale, Semi-Furnished, None, None, None, 2, None, ₹45 Lac, ₹4 455 per sqft
3 BHK Apartment for Sale in Sector 146 Noida, Godrej Tropical Isle, 2500 sqft, None, 12 out of 35,Resale, Unfurnished, None, None, 2 Covered, 3, 3, ₹4.50 Cr, ₹18 000 per sqft
4 BHK Apartment for Sale in Sector 78 Noida, Sunshine Helios, 2750 sqft, Ready to Move, 13 out of 22,Resale, Semi-Furnished, North - East, Co-operative Society, None, 4, 3, ₹2.50 Cr, ₹7 301 per sqft
2 BHK Apartment for Sale in Sector 137  Noida Express Way Noida, None, 890 sqft, Ready to Move, 12 out of 17,Resale, Semi-Furnished, None, None, None, 2, None, ₹75 Lac, ₹8 427 per sqft
2 BHK Apartment for Sale in Sector 76 Noida, Amrapali Silicon City, 1035 sqft, None, 13 out of 16,New Property, Semi-Furnished, None, Freehold, 1 Covered, 2, 2, ₹72 Lac, ₹6 957 per sqft
2 BHK Apartment for Sale in Sector 117 Noida, Unitech Unihomes 2, 766 sqft, None, 1 out of 9,New Property, Unfurnished, East, Leasehold, None, 2, 2, ₹34 Lac, ₹4 439 per sqft
3 BHK Apartment for Sale in Sector 117 Noida, None, 990 sqft, None, 7 out of 8,Resale, Unfurnished, None, None, None, 2, None, ₹40 Lac, ₹4 040 per sqft
3 BHK Apartment for Sale in Sector 117 Noida, None, 1000 sqft, None, 4 out of 11,Resale, Unfurnished, None, Freehold, None, 2, 3, ₹60 Lac, ₹6 000 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Rhythm CCounty, 1335 sqft, Ready to Move, 14 out of 21,Resale, Unfurnished, South -West, Leasehold, None, 2, 4, ₹65 Lac, ₹4 869 per sqft
2 BHK Apartment for Sale in Sector 78 Noida, Mahagun Moderne, 1260 sqft, Ready to Move, 13 out of 21,Resale, Semi-Furnished, None, None, None, 2, 2, ₹1.20 Cr, ₹9 524 per sqft
1 BHK Apartment for Sale in Sector 77 Noida, None, 550 sqft, Ready to Move, 5 out of 19,Resale, Semi-Furnished, None, None, None, 1, None, ₹35 Lac, ₹6 364 per sqft
2 BHK Apartment for Sale in Amarpali Silicon City Noida, Amrapali Princely Estate, 875 sqft, Ready to Move, 4 out of 18,Resale, Semi-Furnished, None, None, None, 2, 2, ₹62 Lac, ₹7 086 per sqft
4 BHK Apartment for Sale in Sector 146 Noida, Godrej Tropical Isle, 3350 sqft, None, 31 out of 35,Resale, Semi-Furnished, None, None, None, 4, None, ₹6 Cr, ₹17 910 per sqft
2 BHK Apartment for Sale in Sector 150  Pusta Road Noida, Eldeco Live By The Greens, 1037 sqft, Ready to Move, 1 out of 22,Resale, Unfurnished, East, Leasehold, None, 2, 3, ₹98.5 Lac, ₹8 663 per sqft
3 BHK Apartment for Sale in Sector 62  NH 24 Noida, Designers Park Apartment, 1600 sqft, Ready to Move, 4 out of 9,Resale, Semi-Furnished, None, None, None, 3, 4, ₹85 Lac, ₹5 312 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, None, 990 sqft, Ready to Move, 16 out of 21,Resale, Unfurnished, None, None, None, 2, None, ₹60 Lac, ₹6 061 per sqft
3 BHK Apartment for Sale in Sector 121 Noida, Cleo County, 1350 sqft, Ready to Move, 23 out of 28,Resale, Semi-Furnished, None, None, None, 2, 3, ₹2 Cr, ₹14 815 per sqft
2 BHK Apartment for Sale in Sector 74 Noida, None, 1195 sqft, Ready to Move, Ground out of 16,Resale, Semi-Furnished, None, None, None, 2, None, ₹1.25 Cr, ₹10 460 per sqft
2 BHK Apartment for Sale in Sector 73  Noida Express Way Noida, None, 800 sqft, Ready to Move, 2 out of 7,Resale, Semi-Furnished, None, None, None, 2, None, ₹26.5 Lac, ₹3 312 per sqft
3 BHK Apartment for Sale in Sector 146 Noida, Godrej Tropical Isle, 1800 sqft, None, 27 out of 35,New Property, Semi-Furnished, None, None, None, 3, 3, ₹3.20 Cr, ₹17 778 per sqft
3 BHK Apartment for Sale in Sector 151  Noida Express Way Noida, Jaypee Aman, 1450 sqft, Ready to Move, 6 out of 21,Resale, Unfurnished, None, None, None, 3, 3, ₹1 Cr, ₹6 897 per sqft
2 BHK Apartment for Sale in Sector 168  Noida Express Way Noida, Urbtech Xaviers, 1200 sqft, Ready to Move, 19 out of 23,Resale, Furnished, East, Freehold, None, 2, 4, ₹68 Lac, ₹5 667 per sqft
3 BHK Apartment for Sale in Sector-77 Noida, None, 1500 sqft, Ready to Move, 12 out of 14,Resale, Semi-Furnished, None, None, 1 Covered, 2, 4, ₹70.5 Lac, ₹4 700 per sqft
2 BHK Apartment for Sale in Sector 137  Noida Express Way Noida, Paramount Floraville, 950 sqft, Ready to Move, 20 out of 22,Resale, Semi-Furnished, East, Leasehold, None, 2, 4, ₹76 Lac, ₹7 273 per sqft
3 BHK Apartment for Sale in Sector 75 Noida, Gardenia Gateway, 1700 sqft, Ready to Move, 4 out of 17,Resale, Semi-Furnished, None, None, None, 3, 3, ₹1.15 Cr, ₹5 648 per sqft
3 BHK Apartment for Sale in Sector 120 Noida, Amrapali Zodiac, 1325 sqft, Ready to Move, 14 out of 16,Resale, Unfurnished, East, None, None, 2, 5, ₹69 Lac, ₹5 208 per sqft
3 BHK Apartment for Sale in Sector 70 Noida, Pan Oasis, 1446 sqft, Ready to Move, 11 out of 18,Resale, Semi-Furnished, None, None, None, 2, None, ₹85 Lac, ₹5 878 per sqft
2 BHK Apartment for Sale in Noida Extension Noida, Ajnara Homes, 925 sqft, Ready to Move, 11 out of 21,Resale, Unfurnished, East, Leasehold, None, 2, 3, ₹52 Lac, ₹5 622 per sqft
2 BHK Builder Floor for Sale in Sector 36 Noida, None, 1250 sqft, Ready to Move, Ground out of 3,Resale, Furnished, None, None, 1 Covered , 2, None, ₹1.02 Cr, ₹8 160 per sqft
3 BHK Builder Floor for Sale in Sector 67 Noida, None, 1394 sqft, None, 2 out of 2,Resale, Semi-Furnished, None, Freehold, None, 3, None, ₹1.20 Cr, ₹8 608 per sqft
3 BHK Apartment for Sale in Sector 143  Noida Express Way Noida, Logix Blossom Greens, 1350 sqft, Ready to Move, 10 out of 20,Resale, Unfurnished, None, None, None, 3, 3, ₹65 Lac, ₹4 815 per sqft
3 BHK Apartment for Sale in Sector 168  Noida Express Way Noida, None, 1500 sqft, Ready to Move, 16 out of 24,Resale, Semi-Furnished, None, None, None, 3, None, ₹85 Lac, ₹5 667 per sqft
2 BHK Apartment for Sale in Sector 73  Noida Express Way Noida, Comfort Residency, 750 sqft, Ready to Move, 2 out of 4,Resale, Semi-Furnished, North - East, Freehold, None, 2, 1, ₹25 Lac, ₹2 941 per sqft
