property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
3 BHK Villa for Sale in Stage 6th Banashankari Bangalore, Mantri Courtyard, 2480 sqft, Ready to Move, None,Resale, Semi-Furnished, West, Freehold, 2 Covered, 3, 1, ₹2.35 Cr, ₹9 476 per sqft
4 BHK Villa for Sale in Varthur Bangalore, Lake Waters, 2839 sqft, Ready to Move, None,New Property, Unfurnished, East, Freehold, 1 Covered, 4, 2, ₹1.94 Cr, ₹6 833 per sqft
4 BHK Apartment for Sale in Kasavanahalli Bangalore, Meadow In The Sun, 2605 sqft, Ready to Move, 4 out of 8,Resale, Semi-Furnished, East, Freehold, 2 Covered, 4, 2, ₹4.20 Cr, ₹12 727 per sqft
4 BHK Apartment for Sale in Koramangala Bangalore, Prestige Acropolis, 3900 sqft, Ready to Move, 9 out of 9,Resale, Semi-Furnished, East, Freehold, None, 4, 5, ₹9 Cr, ₹23 077 per sqft
3 BHK Apartment for Sale in Block 7th Jayanagar Bangalore, None, 2100 sqft, Ready to Move, 17 out of 24,New Property, Unfurnished, East, Freehold, None, 3, 2, ₹3.50 Cr, ₹14 669 per sqft
3 BHK Apartment for Sale in Sarjapur Road Bangalore, Puravankara Purva Skywood, 1400 sqft, Ready to Move, 6 out of 15,Resale, Unfurnished, North, Freehold, 1 Covered, 3, 1, ₹1.80 Cr, ₹10 588 per sqft
4 BHK Villa for Sale in Phase 1 Electronics City Bangalore, The Lake View Address, 3400 sqft, Ready to Move, None,Resale, Unfurnished, North - East, Freehold, None, 4, 2, ₹3.80 Cr, ₹11 176 per sqft
4 BHK  House for Sale in Eshwara Layout Indiranagar Bangalore, None, 2900 sqft, Ready to Move, Ground out of 2,Resale, Semi-Furnished, North - East, Freehold, 2 Open, 3, 3, ₹5.10 Cr, ₹15 829 per sqft
4 BHK Villa for Sale in Huttanahalli Bangalore, Adarsh Palm Acres, 3250 sqft, Ready to Move, None,New Property, Unfurnished, East, Freehold, None, 5, 3, ₹3.21 Cr, ₹9 727 per sqft
4 BHK Villa for Sale in Whitefield Bangalore, None, 2450 sqft, Poss. by Sep '24, None,New Property, Unfurnished, North, Freehold, 2 Covered , 3, 3, ₹1.79 Cr, ₹6 755 per sqft
5 BHK Villa for Sale in Ramagondanahalli-Whitefield  Whitefield Bangalore, Adarsh Palm Meadows, 4200 sqft, Ready to Move, None,Resale, Semi-Furnished, West, Freehold, 2 Covered, 6, 2, ₹8.70 Cr, ₹14 816 per sqft
3 BHK Apartment for Sale in Stage 3rd Banashankari Bangalore, Sobha Heritage, 1266 sqft, Ready to Move, 10 out of 13,New Property, Unfurnished, North, Freehold, 1 Covered, 3, 2, ₹2.30 Cr, ₹12 701 per sqft
2 BHK Apartment for Sale in Anjanadri Layout  Konanakunte Bangalore, Prestige Falcon City, 1010 sqft, Ready to Move, 27 out of 32,Resale, Semi-Furnished, East, Freehold, 1 Covered, 2, 2, ₹1.77 Cr, ₹14 532 per sqft
3 BHK Villa for Sale in Kanakapura Road Bangalore, Mantri Courtyard, 1930 sqft, Ready to Move, None,Resale, Unfurnished, East, None, None, 4, None, ₹2.40 Cr, ₹12 435 per sqft
3 BHK Apartment for Sale in Phase 2 Electronic City Bangalore, Ajmera Nucleus, 1395 sqft, Ready to Move, 9 out of 18,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 1, ₹92 Lac, ₹6 595 per sqft
3 BHK Apartment for Sale in Hoodi  Hoodi Bangalore, Gopalan Grandeur, 1925 sqft, Ready to Move, 3 out of 13,Resale, Semi-Furnished, East, Freehold, None, 3, 2, ₹1.92 Cr, ₹9 974 per sqft
3 BHK Apartment for Sale in Vajarahalli  Vajarahalli Bangalore, Sobha Forest View, 1519 sqft, Ready to Move, 20 out of 26,Resale, Semi-Furnished, West, Freehold, 1 Covered, 3, 1, ₹1.30 Cr, ₹8 553 per sqft
4 BHK Villa for Sale in Whitefield Bangalore, None, 3000 sqft, Ready to Move, None,New Property, Semi-Furnished, South -West, Freehold, 2 Covered, 4, 2, ₹9 Cr, ₹26 308 per sqft
2 BHK Apartment for Sale in Kadugodi Bangalore, MJR Pearl, 1080 sqft, Ready to Move, 7 out of 14,Resale, Semi-Furnished, East, None, 1 Covered, 2, 2, ₹1.42 Cr, ₹10 480 per sqft
2 BHK Apartment for Sale in Panathur Bangalore, Sobha Dream Acres, 1007 sqft, Ready to Move, 4 out of 13,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 1, ₹1.22 Cr, ₹12 115 per sqft
2 BHK Apartment for Sale in Block 1st East Jayanagar Bangalore, None, 1100 sqft, Ready to Move, 1 out of 6,Resale, Semi-Furnished, West, Freehold, 1 Covered, 2, 1, ₹1.60 Cr, ₹12 048 per sqft
4 BHK Apartment for Sale in Hebbal Bangalore, SNN Clermont, 2282 sqft, Ready to Move, 20 out of 40,New Property, Unfurnished, North, Freehold, 2 Covered, 4, 3, ₹4.30 Cr, ₹13 565 per sqft
4 BHK Apartment for Sale in J P Nagar Bangalore, Vaishnavi Terraces, 3450 sqft, Ready to Move, 13 out of 27,Resale, Unfurnished, West, Freehold, 2 Covered, 5, 2, ₹4.05 Cr, ₹11 571 per sqft
3 BHK  House for Sale in Kodipalya Bangalore, None, 600 sqft, Ready to Move, 1 out of 4,New Property, Unfurnished, North, Freehold, None, 5, 3, ₹1.35 Cr, ₹5 625 per sqft
3 BHK Apartment for Sale in Hbr Layout Bangalore, SLV Grand, 2650 sqft, Ready to Move, 4 out of 5,Resale, Semi-Furnished, East, Freehold, None, 3, 4, ₹2.40 Cr, ₹7 500 per sqft
3 BHK Apartment for Sale in Hosur Road Bangalore, Sobha Manhattan Towers Town Park, 1001 sqft, Poss. by Dec '26, 24 out of 37,New Property, Unfurnished, East, Freehold, 2 Covered, 3, 1, ₹1.73 Cr, ₹11 549 per sqft
4 BHK Apartment for Sale in Banashankari Bangalore, Tata Promont, 2400 sqft, Ready to Move, 9 out of 20,Resale, Unfurnished, South, Freehold, None, 4, 1, ₹3.25 Cr, ₹10 726 per sqft
4 BHK Apartment for Sale in Thanisandra Main Road Bangalore, Sansidh Galaxy, 2502 sqft, Ready to Move, 2 out of 10,Resale, Furnished, East, Freehold, None, 5, 5, ₹2.50 Cr, ₹9 992 per sqft
3 BHK Villa for Sale in Sarjapura Bangalore, Peninsula Prakruthi, 1285 sqft, Ready to Move, None,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 3, ₹2 Cr, ₹10 899 per sqft
3 BHK Villa for Sale in Whitefield Bangalore, Sterling Villa Grande, 3900 sqft, Ready to Move, None,Resale, Unfurnished, East, Freehold, 1 Covered, 3, 2, ₹5.75 Cr, ₹14 744 per sqft
3 BHK Apartment for Sale in Hebbal Bangalore, Karle Zenith, 2000 sqft, Ready to Move, 19 out of 34,Resale, Unfurnished, West, Freehold, None, 3, 1, ₹3 Cr, ₹12 245 per sqft
3 BHK Apartment for Sale in Defence Enclave Bangalore, Bhartiya City Nikoo Homes, 1590 sqft, Ready to Move, 17 out of 26,Resale, Semi-Furnished, East, Freehold, 1 Covered, 3, 2, ₹1.78 Cr, ₹8 448 per sqft
4 BHK Apartment for Sale in Rajajinagar Bangalore, Sobha Indraprastha, 22000 sqft, Ready to Move, 23 out of 32,Resale, Unfurnished, North, Freehold, 2 Covered, 4, 3, ₹6.50 Cr, ₹20 447 per sqft
3 BHK Villa for Sale in Doddaballapur Main Road Bangalore, ZED EARTH, 3186 sqft, Ready to Move, None,Resale, Unfurnished, East, Freehold, None, 3, 3, ₹3.50 Cr, ₹10 986 per sqft
4 BHK Villa for Sale in Jakkur Bangalore, Life By The Lake, 3434 sqft, Ready to Move, None,New Property, Unfurnished, East, Freehold, 1 Covered, 4, 3, ₹5.38 Cr, ₹10 978 per sqft
2 BHK Apartment for Sale in Doddabommasandra Bangalore, None, 800 sqft, Ready to Move, 1 out of 3,New Property, Semi-Furnished, East, Freehold, None, 2, 2, ₹73.5 Lac, ₹7 350 per sqft
3 BHK Apartment for Sale in CV Raman Nagar Bangalore, August Park, 1864 sqft, Ready to Move, 9 out of 10,Resale, Semi-Furnished, South -West, Freehold, 1 Covered, 3, 3, ₹2.35 Cr, ₹12 607 per sqft
2 BHK Apartment for Sale in Varthur Bangalore, Candeur Signature, 680 sqft, Ready to Move, 9 out of 23,New Property, Unfurnished, North, Freehold, 1 Covered, 2, 1, ₹99 Lac, ₹8 684 per sqft
4 BHK Villa for Sale in Kalkere Bangalore, Neeraja Serenity, 2630 sqft, Ready to Move, None,Resale, Furnished, North, Freehold, 4 Covered, 4, 2, ₹5.50 Cr, ₹18 051 per sqft
2 BHK Apartment for Sale in Kundalahalli  Brookefield Bangalore, Oasis Breeze, 1215 sqft, Ready to Move, Ground out of 5,Resale, Semi-Furnished, East, None, None, 2, 2, ₹80 Lac, ₹6 584 per sqft
