property_title, society_name, carpet_area, status, floor_info,transaction_type, furnishing_type, facing, ownership_type, car_parking, bathroom_count, balcony_count, price_amount, price_per_sqft 
2 BHK Apartment for Sale in Himgiri Tower  Kaushambi Ghaziabad, Himgiri Tower, 600 sqft, Ready to Move, 3 out of 9,Resale, Semi-Furnished, None, Freehold, None, 2, 1, ₹49 Lac, ₹6 533 per sqft
1 BHK Apartment for Sale in Shakti Khand 3  Shakti Khand 3 Ghaziabad, Shakti Khand 3, 35 sqm, Ready to Move, 1 out of 2,Resale, Semi-Furnished, North, Freehold, 1 Open, 1, 1, ₹21 Lac, None
3 BHK Apartment for Sale in Windsor Paradise 2  Raj Nagar Extension Ghaziabad, Windsor Paradise 2, 910 sqft, Ready to Move, 16 out of 20,Resale, Furnished, South - East, Freehold, 199 Covered, 2, 3, ₹80 Lac, ₹6 275 per sqft
2 BHK Builder Floor for Sale in Vidhayak Colony  Nyay Khand 1 Ghaziabad, Vidhayak Colony, 700 sqft, Ready to Move, Ground out of 3,New Property, Furnished, South, Freehold, None, 2, None, ₹38 Lac, ₹4 750 per sqft
3 BHK Apartment for Sale in Chander Nagar Society  Ramprastha Colony Ghaziabad, Chander Nagar Society, 130 sqyrd, Ready to Move, Ground out of 3,Resale, Furnished, East, Freehold, None, 2, 2, ₹78 Lac, ₹6 190 per sqft
4 BHK  House for Sale in Karhera Colony Ghaziabad, None, 1800 sqft, Ready to Move, None,Resale, Unfurnished, North, Freehold, None, 2, 2, ₹1.40 Cr, ₹7 000 per sqft
2 BHK Apartment for Sale in KDP Grand Savana  Raj Nagar Extension Ghaziabad, KDP Grand Savana, 1250 sqft, Ready to Move, 6 out of 11,Resale, Unfurnished, East, Freehold, None, 2, 4, ₹65 Lac, ₹5 200 per sqft
2 BHK Apartment for Sale in Organic Homes  National Highway 24 Ghaziabad, Organic Homes, 1180 sqft, Ready to Move, 14 out of 20,Resale, Unfurnished, East, Freehold, 1 Covered, 2, 2, ₹52 Lac, ₹5 306 per sqft
2 BHK Builder Floor for Sale in Divyansh Apartment  Indirapuram Ghaziabad, Divyansh Apartment, 600 sqft, Ready to Move, 2 out of 2,Resale, Unfurnished, None, Freehold, None, 2, 2, ₹60 Lac, ₹8 000 per sqft
2 BHK Apartment for Sale in Gaur Ganga 2  Vaishali Ghaziabad, Gaur Ganga 2, 785 sqft, Ready to Move, 11 out of 13,Resale, Semi-Furnished, East, Freehold, None, 2, 2, ₹66 Lac, ₹6 701 per sqft
